place,team,total_points,100,200,400,800,1500,3000SC,5000,10000,110H,400H,4x1R,4x4R,HJ,PV,LJ,TJ,SP,DT,HT,JT,Dec,year,season
1,LSU,84.0,10.0,8.0,6.0,,,,,,1.0,10.0,10.0,0.0,10.0,,12.0,5.0,,,2.0,10.0,,2021,Outdoor
2,Oregon,53.0,6.0,,,6.0,10.0,0.0,15.0,,,2.0,0.0,,,,,13.0,,,,0.0,1.0,2021,Outdoor
3,N. Carolina A&T,35.0,0.0,0.0,15.0,0.0,,,,,0.0,0.0,5.0,10.0,,,5.0,,,,,,,2021,Outdoor
4,Florida,34.5,2.0,10.0,3.0,,,,,,,0.0,,2.0,3.5,,,4.0,0.0,,10.0,,,2021,Outdoor
5,USC,33.0,4.0,3.0,0.0,10.0,,,,,3.0,6.0,0.0,5.0,2.0,,,0.0,0.0,,0.0,,,2021,Outdoor
6,Texas A&M,29.0,0.0,0.0,8.0,8.0,,,,,,5.0,2.0,6.0,,,,,,,,0.0,,2021,Outdoor
6,Texas,29.0,,5.0,0.0,2.0,,,,,,1.0,3.0,0.0,,,4.0,1.0,8.0,,,,5.0,2021,Outdoor
8,Georgia,25.0,3.0,4.0,0.0,,,,,,,0.0,8.0,,,,,,,,0.0,,10.0,2021,Outdoor
9,Arizona State,24.0,,,,,,,,,4.0,,0.0,,,,,,10.0,10.0,,0.0,,2021,Outdoor
10,Florida State,23.5,6.0,2.0,,,,,,1.0,,,6.0,0.0,0.5,,8.0,0.0,,0.0,,,,2021,Outdoor
11,Tennessee,21.0,,,0.0,0.0,,,,,,,,0.0,5.0,,6.0,10.0,0.0,,0.0,,,2021,Outdoor
12,Iowa,19.0,,,0.0,,,0.0,,,13.0,0.0,0.0,4.0,,,0.0,,,,,,2.0,2021,Outdoor
13,Alabama,18.0,,,0.0,,5.0,,0.0,0.0,10.0,,,0.0,,3.0,,0.0,0.0,,0.0,,,2021,Outdoor
13,Stephen F. Austin,18.0,,,0.0,,,,,,,,,8.0,,10.0,,,,,,0.0,,2021,Outdoor
15,Kentucky,17.0,0.0,0.0,4.0,,,,,,0.0,0.0,0.0,1.0,,8.0,0.0,,4.0,0.0,,,,2021,Outdoor
15,Miss State,17.0,,,,,,,,,0.0,,0.0,,,,0.0,0.0,,,,17.0,,2021,Outdoor
17,BYU,16.0,,,1.0,,0.0,5.0,0.0,8.0,,0.0,0.0,0.0,,0.0,,,,0.0,,2.0,0.0,2021,Outdoor
18,Houston,15.0,8.0,6.0,,,,,,,0.0,0.0,1.0,,,0.0,0.0,,,,,,,2021,Outdoor
18,Auburn,15.0,,,,1.0,,,,,,4.0,,,,,,,,,,6.0,4.0,2021,Outdoor
20,Clemson,14.0,,0.0,,0.0,,,,,2.0,,4.0,0.0,,,,,,8.0,,,,2021,Outdoor
20,Minnesota,14.0,,,,,,8.0,,,,,,,,,,,0.0,0.0,6.0,,0.0,2021,Outdoor
20,Northern Arizona,14.0,,,,,,,8.0,6.0,,,,,,,,,,,,,,2021,Outdoor
23,Kansas,13.5,,,,,,,,,,,,,,5.5,,,,,8.0,,,2021,Outdoor
24,Michigan,13.0,,,,,0.0,0.0,,,0.0,,,0.0,,,,,5.0,,,,8.0,2021,Outdoor
24,Georgetown,13.0,,,,,3.0,1.0,4.0,5.0,,,,,,,,,,,,,,2021,Outdoor
24,Tulsa,13.0,,,,,,,3.0,10.0,,,,,,,,,,,,,,2021,Outdoor
27,Oklahoma,12.5,,,,,,,,,,8.0,,0.0,3.5,,1.0,0.0,,,0.0,,,2021,Outdoor
28,Arkansas,12.0,,,,,,,0.0,0.0,6.0,,0.0,0.0,,,,0.0,,,,,6.0,2021,Outdoor
28,Virginia,12.0,,,,,,2.0,,,,,,,,0.0,,0.0,,10.0,,,,2021,Outdoor
30,Arizona,10.0,,,0.0,,,,,,,,,3.0,0.0,,,,6.0,,1.0,,,2021,Outdoor
30,Ole Miss,10.0,,,,0.0,10.0,,,,0.0,,,,0.0,0.0,0.0,,,,,,,2021,Outdoor
30,Mid. Tenn. State,10.0,,,,,,10.0,,,,,,,,,,,,,,,,2021,Outdoor
33,Iowa State,9.0,,,,4.0,,0.0,0.0,0.0,,0.0,,,,,,,,,5.0,0.0,,2021,Outdoor
34,Kansas State,8.0,,,,,,,,,,,,,8.0,,0.0,,,,,0.0,,2021,Outdoor
34,Notre Dame,8.0,,,,0.0,8.0,,0.0,,,,,,,,,,0.0,,,,,2021,Outdoor
36,TCU,7.0,0.0,1.0,,,,,,,,,0.0,0.0,,,,6.0,,,,,,2021,Outdoor
37,Oklahoma State,6.0,,,0.0,,,6.0,,0.0,,,,,,,,,,,,,,2021,Outdoor
37,Virginia Tech,6.0,0.0,,0.0,,2.0,0.0,,,,,,0.0,,,,0.0,,,4.0,,,2021,Outdoor
37,Campbell,6.0,,,,,,,6.0,,,,,,,,,,,,,,,2021,Outdoor
37,Nebraska,6.0,,,,,0.0,,,,0.0,,,,6.0,,0.0,,0.0,,,,,2021,Outdoor
37,South Dakota,6.0,,,,,,,,,,,,,0.0,6.0,,,,,,,,2021,Outdoor
42,Sam Houston,5.0,0.0,,,,,,,,,0.0,0.0,,,5.0,,,,,,,,2021,Outdoor
42,South Carolina,5.0,,,,,,,,,,0.0,,,,,,,0.0,5.0,,,,2021,Outdoor
42,Miami (Ohio),5.0,,,,5.0,,,,,,,,,,,,,,,,,,2021,Outdoor
42,Stanford,5.0,,,,,,3.0,0.0,2.0,,,,,,,,,,,,,,2021,Outdoor
46,Colorado St.,4.0,,,,,,,0.0,4.0,,,,,,,,,,0.0,,,,2021,Outdoor
46,Montana State,4.0,,,,,,4.0,,,,,,,,,,,,,,,,2021,Outdoor
46,North Dakota State,4.0,,,,,,,,,,,,,,,,,0.0,,3.0,1.0,,2021,Outdoor
46,Washington,4.0,,,,,0.0,,0.0,,,0.0,,,,,,,1.0,3.0,0.0,,,2021,Outdoor
50,SE Louisiana,3.0,,,0.0,,,,,,,,,0.0,,,,,,,,3.0,,2021,Outdoor
50,UCLA,3.0,,,0.0,,,,,,,,,,,,3.0,,,,,,,2021,Outdoor
50,Hofstra,3.0,,,,,,,0.0,3.0,,,,,,,,,,,,,,2021,Outdoor
50,Idaho,3.0,,,,,,,,,,,,,,,,,3.0,,,,,2021,Outdoor
50,Lipscomb,3.0,,,,3.0,,,,,,,,,,,,,,,,,,2021,Outdoor
50,Long Beach St.,3.0,,,,,,,,,,,,,0.0,,0.0,,,,,,3.0,2021,Outdoor
50,Texas A&M-CC,3.0,,,,,,,,,,3.0,,,,,,,,,,,,2021,Outdoor
57,Ohio State,2.0,,0.0,2.0,,,,,,,,0.0,,,,,,,,,,,2021,Outdoor
57,North Carolina,2.0,,,,,0.0,,2.0,,,,,,,,,,0.0,,,,,2021,Outdoor
57,Northern Iowa,2.0,,,,,,,,,,,,,,,,,2.0,,,,,2021,Outdoor
57,Wyoming,2.0,,,,,,,,,,,,,,,,,,2.0,,,,2021,Outdoor
61,UTEP,1.5,,,0.0,,,,,,,,,0.0,,1.5,,,,0.0,,,,2021,Outdoor
62,Charlotte,1.0,,,,,,,,0.0,,,,,,0.0,,,,1.0,,,,2021,Outdoor
62,Michigan State,1.0,,,,,,,1.0,,,,,,,0.0,,,,,,,0.0,2021,Outdoor
62,Washington St.,1.0,,,,,1.0,0.0,,,0.0,,,,0.0,,,,,,,,,2021,Outdoor
65,Buffalo,0.5,,,,,,,,,,,,,0.5,,,,,,,,,2021,Outdoor
66,Baylor,0.0,0.0,,0.0,,,,,,,,,0.0,,,,,,,,,,2021,Outdoor
66,Coppin State,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,2021,Outdoor
66,Miami (Fla.),0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,2021,Outdoor
66,NC State,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,2021,Outdoor
66,Norfolk State,0.0,,,,,,,,,,,0.0,,,,,,,,,,,2021,Outdoor
66,Pittsburgh,0.0,,,,,,,,,,,,0.0,,,,,,,,,,2021,Outdoor
66,Purdue,0.0,,0.0,,,,,,,,,0.0,,,,,0.0,,,,,0.0,2021,Outdoor
66,South Florida,0.0,,,,,,,,,,0.0,,,,0.0,,,,,,,,2021,Outdoor
66,Texas Tech,0.0,0.0,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,2021,Outdoor
66,UL-Lafayette,0.0,,,,,,,,,0.0,,,,,0.0,,,,,,,,2021,Outdoor
66,Arkansas State,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,2021,Outdoor
66,Army West Point,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2021,Outdoor
66,Butler,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,2021,Outdoor
66,California,0.0,,,,,,,,,,,,,,,,,,0.0,,,,2021,Outdoor
66,Central Arkansas,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2021,Outdoor
66,Cincinnati,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Coastal Carolina,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2021,Outdoor
66,Colorado,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Connecticut,0.0,,,,,,,,,,,,,,0.0,0.0,,,,,,0.0,2021,Outdoor
66,Drake,0.0,,,,,0.0,,,,,,,,,,,,0.0,,,,,2021,Outdoor
66,East Carolina,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2021,Outdoor
66,Eastern Illinois,0.0,,,,0.0,,,,,,,,,,,,,,,,,,2021,Outdoor
66,Eastern Kentucky,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2021,Outdoor
66,Eastern Michigan,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,,,2021,Outdoor
66,Florida A&M,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2021,Outdoor
66,Furman,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2021,Outdoor
66,Gonzaga,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Grand Canyon,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2021,Outdoor
66,Houston Baptist,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2021,Outdoor
66,Illinois,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,2021,Outdoor
66,Indiana,0.0,,,,0.0,,,0.0,,,,,,,0.0,,,,,,,,2021,Outdoor
66,Iona,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Kennesaw State,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2021,Outdoor
66,La Salle,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2021,Outdoor
66,Lamar,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2021,Outdoor
66,Liberty,0.0,,,,,,0.0,,,,,,,,,,,0.0,,,,,2021,Outdoor
66,Louisville,0.0,,,,,,0.0,,,,,,,0.0,,,,,0.0,,,,2021,Outdoor
66,Marquette,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2021,Outdoor
66,Maryland,0.0,,,,,,,,,,0.0,,,0.0,,,,,,,,,2021,Outdoor
66,McNeese State,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2021,Outdoor
66,Missouri,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,,,2021,Outdoor
66,Mount St. Mary's,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2021,Outdoor
66,New Orleans,0.0,0.0,,,,,,,,,,,,,,,,,,,,,2021,Outdoor
66,North Texas,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2021,Outdoor
66,Northeastern,0.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,2021,Outdoor
66,Penn State,0.0,,,,0.0,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2021,Outdoor
66,Portland,0.0,,,,,0.0,,,,,,,,,,,,,,,,,2021,Outdoor
66,Providence,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Rice,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2021,Outdoor
66,Rutgers,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,2021,Outdoor
66,Samford,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2021,Outdoor
66,Santa Clara,0.0,,,,,,0.0,,,,,,,,,,,,,,,,2021,Outdoor
66,South Alabama,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,,,2021,Outdoor
66,South Dakota St.,0.0,,,,,,,,,,,,,,0.0,,,,,,,,2021,Outdoor
66,Southern Illinois,0.0,,,,,,,,,,,,,,,,,,,0.0,,,2021,Outdoor
66,Southern Miss.,0.0,,,,,,,,,,,,,0.0,,,,,,,,,2021,Outdoor
66,Syracuse,0.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Tennessee St.,0.0,,,,,,,,,,,,,,,,0.0,,,,,,2021,Outdoor
66,Texas Southern,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2021,Outdoor
66,Texas State,0.0,,,,,,,,,,,,,,,0.0,,,,,,,2021,Outdoor
66,UC Irvine,0.0,,,,,,,,,,,,,,,,,,,,,0.0,2021,Outdoor
66,UC Santa Barbara,0.0,,,,,,,,,,,,,,,,,,,,0.0,,2021,Outdoor
66,UMass Lowell,0.0,,,,,,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,UT-Arlington,0.0,,,,,,,,,,,,,0.0,,,,,,,0.0,,2021,Outdoor
66,Villanova,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,2021,Outdoor
66,Wake Forest,0.0,,,,,,,0.0,,,,,,,,,,,,,,,2021,Outdoor
66,Wichita State,0.0,,,,,,,,,0.0,,,,,,,,,,0.0,,,2021,Outdoor
66,Wisconsin,0.0,0.0,,,0.0,,,0.0,,,,,,,,,,,,,,,2021,Outdoor
66,Youngstown State,0.0,,,,,,,,,,0.0,,,,,,,,,,,,2021,Outdoor
